model,mean_score,std_score,q95,q99
Baseline GCN,1.0309088230133057,0.5223314762115479,2.0530214309692383,2.4960663318634033
AnomalyDetector GCN,1.0073878765106201,0.5243070721626282,1.9892311096191406,2.4989776611328125
Improved GAT,0.6951317191123962,0.5621587634086609,1.857404112815857,2.51118540763855
