model,train_alpha,score_type,mean_score,std_score,q95,q99
Improved GAT (Custom - Country-Only),0.0,population_error,10.21192455291748,1.8099991083145142,13.7638578414917,14.890461921691895
Improved GAT (Custom - Country-Only),0.0,combined_score,6.52543830871582,1.0860507488250732,8.656825065612793,9.334166526794434
Improved GAT (Custom - Country-Only),0.0,country_score,0.9957088828086853,0.0041864472441375256,0.9997111558914185,0.9998089671134949
AnomalyDetector GCN (Ref),0.6,population_error,1.2000349760055542,0.825421929359436,2.7951345443725586,3.4178478717803955
AnomalyDetector GCN (Ref),0.6,combined_score,1.0526796579360962,0.5255818963050842,2.0330142974853516,2.4276678562164307
AnomalyDetector GCN (Ref),0.6,country_score,0.8316465020179749,0.21957483887672424,0.9993823766708374,0.9999952912330627
Baseline GCN (Ref),0.6,population_error,1.1774282455444336,0.8175925612449646,2.7181966304779053,3.352806806564331
Baseline GCN (Ref),0.6,combined_score,1.03041410446167,0.5234042406082153,1.9883147478103638,2.359459638595581
Baseline GCN (Ref),0.6,country_score,0.8098927736282349,0.23269224166870117,0.9992407560348511,0.9999971985816956
Improved GAT (Custom),0.6,population_error,0.7417226433753967,0.8560910224914551,2.5822834968566895,3.2997870445251465
Improved GAT (Custom),0.6,combined_score,0.733519434928894,0.5455674529075623,1.8953901529312134,2.3494160175323486
Improved GAT (Custom),0.6,country_score,0.7212146520614624,0.304964542388916,0.9992842078208923,0.9998482465744019
Improved GAT (Custom - Pop-Only),1.0,population_error,0.7285596132278442,0.8145815134048462,2.6710290908813477,3.2043745517730713
Improved GAT (Custom - Pop-Only),1.0,combined_score,0.8352490663528442,0.4887488782405853,2.0007307529449463,2.3207380771636963
Improved GAT (Custom - Pop-Only),1.0,country_score,0.9952830672264099,1.4465898345861206e-07,0.9952832460403442,0.995283305644989
